origin_id,ibge_municipio_7,municipio_nome,uf_sigla,origin_latitude,origin_longitude,origin_population,origin_population_status,origin_source,origin_granularity,source_year,representative_point_method,precision_status,sector_situation
520013405000007,5200134,Acreúna,52,-17.393172435290605,-50.379756023168056,388,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000008,5200134,Acreúna,52,-17.393317705085494,-50.387724089534316,882,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000009,5200134,Acreúna,52,-17.383401436603442,-50.380337114857625,886,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000010,5200134,Acreúna,52,-17.39057664676818,-50.375399502013465,503,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000011,5200134,Acreúna,52,-17.386528128171612,-50.372093599860236,524,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000014,5200134,Acreúna,52,-17.39045331042853,-50.362499700034405,900,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000017,5200134,Acreúna,52,-17.401841983599834,-50.37166888808703,853,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000018,5200134,Acreúna,52,-17.404706302058447,-50.37984538786317,477,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000019,5200134,Acreúna,52,-17.395806234315053,-50.37770316433409,482,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000020,5200134,Acreúna,52,-17.387571855607217,-50.37882262857488,736,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000021,5200134,Acreúna,52,-17.382254416619112,-50.37524456838354,679,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000022,5200134,Acreúna,52,-17.388993306983636,-50.37117221316666,512,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000026,5200134,Acreúna,52,-17.52952195502444,-50.19700144273953,550,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000028,5200134,Acreúna,52,-17.560317670203666,-50.45913139156639,264,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520013405000030,5200134,Acreúna,52,-17.408034670242113,-50.37439606350008,503,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000031,5200134,Acreúna,52,-17.533643782142818,-50.19633412876306,383,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000032,5200134,Acreúna,52,-17.381681650623356,-50.3680202893784,4,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520013405000044,5200134,Acreúna,52,-17.38757139192924,-50.36623424251782,571,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
