competencia_cnes,regiao_aps,uf_sigla,estado_nome,municipio_nome_aps,ibge_municipio,aps_populacao,qt_esf,qt_eap_20hs,qt_eap_30hs,qt_ecr,qt_cadastro_ecr,qt_eapp_20hs,qt_cadastro_eapp_20hs,qt_eapp_30hs,qt_cadastro_eapp_30hs,qt_esfr,qt_cadastro_esfr,qt_cadastros_ecr_eapp,aps_capacidade_equipe,cobertura_aps_pct,municipio_key
01/2021,SUDESTE,MG,MINAS GERAIS,PONTO CHIQUE,315213,4283.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,163.43,ponto_chique
01/2021,SUDESTE,MG,MINAS GERAIS,PONTO DOS VOLANTES,315217,12179.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,172.42,ponto_dos_volantes
01/2021,SUDESTE,MG,MINAS GERAIS,PORTEIRINHA,315220,37864.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59500.0,157.14,porteirinha
01/2021,SUDESTE,MG,MINAS GERAIS,PORTO FIRME,315230,11348.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,185.05,porto_firme
01/2021,SUDESTE,MG,MINAS GERAIS,POTÉ,315240,16616.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,126.38,pote
01/2021,SUDESTE,MG,MINAS GERAIS,POUSO ALEGRE,315250,152549.0,29.0,0.0,0.0,1.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,112000.0,73.41,pouso_alegre
01/2021,SUDESTE,MG,MINAS GERAIS,POUSO ALTO,315260,5900.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,118.64,pouso_alto
01/2021,SUDESTE,MG,MINAS GERAIS,PRADOS,315270,9080.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,154.18,prados
01/2021,SUDESTE,MG,MINAS GERAIS,PRATA,315280,28017.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,112.43,prata
01/2021,SUDESTE,MG,MINAS GERAIS,PRATÁPOLIS,315290,8566.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,163.43,pratapolis
01/2021,SUDESTE,MG,MINAS GERAIS,PRATINHA,315300,3631.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,96.39,pratinha
01/2021,SUDESTE,MG,MINAS GERAIS,PRESIDENTE BERNARDES,315310,5341.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,196.59,presidente_bernardes
01/2021,SUDESTE,MG,MINAS GERAIS,PRESIDENTE JUSCELINO,315320,3606.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,194.12,presidente_juscelino
01/2021,SUDESTE,MG,MINAS GERAIS,PRESIDENTE KUBITSCHEK,315330,3001.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,233.25,presidente_kubitschek
01/2021,SUDESTE,MG,MINAS GERAIS,PRESIDENTE OLEGÁRIO,315340,19627.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,106.99,presidente_olegario
01/2021,SUDESTE,MG,MINAS GERAIS,PRUDENTE DE MORAIS,315360,10834.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,129.22,prudente_de_morais
01/2021,SUDESTE,MG,MINAS GERAIS,QUARTEL GERAL,315370,3584.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,97.65,quartel_geral
01/2021,SUDESTE,MG,MINAS GERAIS,QUELUZITO,315380,1943.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,180.13,queluzito
01/2021,SUDESTE,MG,MINAS GERAIS,RAPOSOS,315390,16429.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,85.21,raposos
01/2021,SUDESTE,MG,MINAS GERAIS,RAUL SOARES,315400,23711.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,132.84,raul_soares
01/2021,SUDESTE,MG,MINAS GERAIS,RECREIO,315410,10520.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,99.8,recreio
01/2021,SUDESTE,MG,MINAS GERAIS,REDUTO,315415,7201.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,194.41,reduto
01/2021,SUDESTE,MG,MINAS GERAIS,RESENDE COSTA,315420,11540.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,90.98,resende_costa
01/2021,SUDESTE,MG,MINAS GERAIS,RESPLENDOR,315430,17396.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,100.59,resplendor
01/2021,SUDESTE,MG,MINAS GERAIS,RESSAQUINHA,315440,4817.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,145.31,ressaquinha
01/2021,SUDESTE,MG,MINAS GERAIS,RIACHINHO,315445,8134.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,172.11,riachinho
01/2021,SUDESTE,MG,MINAS GERAIS,RIACHO DOS MACHADOS,315450,9476.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,147.74,riacho_dos_machados
01/2021,SUDESTE,MG,MINAS GERAIS,RIBEIRÃO DAS NEVES,315460,338197.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220500.0,65.19,ribeirao_das_neves
01/2021,SUDESTE,MG,MINAS GERAIS,RIBEIRÃO VERMELHO,315470,4047.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,86.48,ribeirao_vermelho
01/2021,SUDESTE,MG,MINAS GERAIS,RIO ACIMA,315480,10420.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,100.76,rio_acima
01/2021,SUDESTE,MG,MINAS GERAIS,RIO CASCA,315490,13473.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,129.88,rio_casca
01/2021,SUDESTE,MG,MINAS GERAIS,RIO DO PRADO,315510,5133.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,204.55,rio_do_prado
01/2021,SUDESTE,MG,MINAS GERAIS,RIO DOCE,315500,2620.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,133.58,rio_doce
01/2021,SUDESTE,MG,MINAS GERAIS,RIO ESPERA,315520,5402.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,194.37,rio_espera
