ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,populacao_residente,telemedicine_precision_index,phase5_precision_rank,phase2_rank_balanced,phase2_need_pillar,phase2_feasibility_pillar,phase5_spatial_precision_mismatch_score,phase5_weighted_p90_ubs_km,phase5_population_share_pharmacy_le_2km,phase5_population_share_hard_ubs_easy_pharmacy,phase5_precision_status,phase5_evidence_grade
211130,2111300,São Luís,MA,1037775.0,74.97719804604156,52.0,73.0,95.46354246714056,44.50768184992916,74.04100936039892,1.033988816966465,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
431340,4313409,Novo Hamburgo,RS,227646.0,74.96040013936619,53.0,60.0,76.06934904976336,71.29871148203816,75.69384333798281,2.455153124800249,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
352390,3523909,Itu,SP,168240.0,74.88709731088349,54.0,78.0,91.03570697307477,55.12384172481261,69.40821465397885,0.5871493104131345,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
353390,3533908,Olímpia,SP,55074.0,74.85350102624093,55.0,34.0,73.96647552695039,86.60125903059004,69.93429035193456,0.6123580881300544,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
355400,3554003,Tatuí,SP,123942.0,74.83297499361714,56.0,59.0,75.43272281437362,72.8122858232336,75.23658445907668,1.5868798230191898,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
351870,3518701,Guarujá,SP,287634.0,74.77867237631713,57.0,48.0,87.1684403828804,51.99795981158278,75.56826879396594,2.1408238261725367,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
311860,3118601,Contagem,MG,621863.0,74.74737918636298,58.0,71.0,85.07338893676607,71.16931105170951,65.09010382910184,0.4444157458383361,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
330070,3300704,Cabo Frio,RJ,222161.0,74.53726709997825,59.0,81.0,90.7600566981096,46.3800298929621,75.88502032663261,3.5680319721789413,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
330020,3300209,ARARUAMA,RJ,137906.0,74.39768190004524,60.0,70.0,79.49227258593082,61.62477508730303,76.08873310274392,4.393931101864437,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
330452,3304524,Rio das Ostras,RJ,156491.0,74.26518934552358,61.0,56.0,87.57821751950634,51.49319497198193,74.06135516248085,1.043578906581836,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
352670,3526704,Leme,SP,98161.0,74.24265721036542,62.0,87.0,86.63670932053252,57.28420362329479,70.59953980502036,0.6488266975222169,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
314790,3147907,Passos,MG,111939.0,74.17998766696267,63.0,35.0,72.68565965227857,82.26846164006844,71.77383360091919,0.7314898710197156,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
353060,3530607,Mogi das Cruzes,SP,451505.0,74.16501569490099,64.0,79.0,92.07516345800283,54.54166155028246,66.93969085303951,0.4939708870280083,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
313420,3134202,Ituiutaba,MG,102217.0,74.1361273269778,65.0,64.0,87.7278394970176,60.876962723534966,66.82447979891167,0.4916615074955957,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
520110,5201108,Anápolis,GO,398869.0,74.10254366332664,66.0,39.0,73.18995229340425,81.22145616989658,71.44765973490894,1.273030886944961,0.512586839288087,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
