ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,phase2_eligibility,phase2_mc_score_median,phase2_mc_rank_median,phase2_mc_rank_p05,phase2_mc_rank_p95,phase2_mc_probability_top_decile
350570,3505708,Barueri,SP,eligible_phase2_geodesic_proxy,68.31575775146484,187.0,123.0,272.04998779296875,1.0
410040,4100400,Almirante Tamandaré,PR,eligible_phase2_geodesic_proxy,68.16213989257812,190.0,125.0,268.04998779296875,1.0
420210,4202107,Barra Velha,SC,eligible_phase2_geodesic_proxy,67.94261169433594,192.0,153.9499969482422,235.0500030517578,1.0
350750,3507506,Botucatu,SP,eligible_phase2_geodesic_proxy,67.8877182006836,193.0,144.0,263.0,1.0
430440,4304408,Canela,RS,eligible_phase2_geodesic_proxy,67.97074890136719,193.0,179.0,217.0,1.0
411850,4118501,Pato Branco,PR,eligible_phase2_geodesic_proxy,67.6897201538086,195.0,128.9499969482422,269.0,1.0
354400,3544004,Rio das Pedras,SP,eligible_phase2_geodesic_proxy,67.36412048339844,197.0,147.0,267.0,1.0
522045,5220454,Senador Canedo,GO,eligible_phase2_geodesic_proxy,67.46482849121094,197.0,181.0,230.0,1.0
420420,4204202,Chapecó,SC,eligible_phase2_geodesic_proxy,67.4291763305664,199.0,107.94999694824219,288.04998779296875,1.0
410400,4104006,Campina Grande do Sul,PR,eligible_phase2_geodesic_proxy,67.43016052246094,199.0,155.0,273.0,1.0
260960,2609600,Olinda,PE,eligible_phase2_geodesic_proxy,67.36001586914062,200.0,92.0,344.04998779296875,1.0
354070,3540705,Porto Ferreira,SP,eligible_phase2_geodesic_proxy,67.31559753417969,200.0,138.0,266.04998779296875,1.0
240360,2403608,Extremoz,RN,eligible_phase2_geodesic_proxy,67.27265930175781,201.0,168.0,258.04998779296875,1.0
354630,3546306,Santa Cruz das Palmeiras,SP,eligible_phase2_geodesic_proxy,67.18055725097656,203.0,122.0,276.04998779296875,1.0
510795,5107958,Tangará da Serra,MT,eligible_phase2_geodesic_proxy,67.1922607421875,203.0,137.9499969482422,299.0,1.0
352590,3525904,Jundiaí,SP,eligible_phase2_geodesic_proxy,66.89755249023438,204.0,128.0,293.04998779296875,1.0
317040,3170404,Unaí,MG,eligible_phase2_geodesic_proxy,66.89154052734375,207.0,175.0,242.0,1.0
352440,3524402,Jacareí,SP,eligible_phase2_geodesic_proxy,66.88052368164062,208.0,161.9499969482422,264.04998779296875,1.0
