ibge_municipio_7,municipio_nome_ibge_seat,uf_sigla_ibge_seat,seat_latitude,seat_longitude,seat_category,seat_subcategory
1504703,Moju,PA,-1.8844,-48.7679,Cidade,Sede Municipal
1504752,Mojuí dos Campos,PA,-2.6821,-54.6418,Cidade,Sede Municipal
1504802,Monte Alegre,PA,-2.0051,-54.0677,Cidade,Sede Municipal
1504901,Muaná,PA,-1.529,-49.2176,Cidade,Sede Municipal
1504950,Nova Esperança do Piriá,PA,-2.2709,-46.9671,Cidade,Sede Municipal
1504976,Nova Ipixuna,PA,-4.9113,-49.074,Cidade,Sede Municipal
1505007,Nova Timboteua,PA,-1.206,-47.3877,Cidade,Sede Municipal
1505031,Novo Progresso,PA,-7.0382,-55.4068,Cidade,Sede Municipal
1505064,Novo Repartimento,PA,-4.2485,-49.9514,Cidade,Sede Municipal
1505106,Óbidos,PA,-1.9166,-55.5158,Cidade,Sede Municipal
1505205,Oeiras do Pará,PA,-2.0036,-49.8546,Cidade,Sede Municipal
1505304,Oriximiná,PA,-1.7697,-55.8664,Cidade,Sede Municipal
1505403,Ourém,PA,-1.5508,-47.1139,Cidade,Sede Municipal
1505437,Ourilândia do Norte,PA,-6.7543,-51.0672,Cidade,Sede Municipal
1505486,Pacajá,PA,-3.8303,-50.6406,Cidade,Sede Municipal
1505494,Palestina do Pará,PA,-5.7475,-48.3165,Cidade,Sede Municipal
1505502,Paragominas,PA,-3.0,-47.3554,Cidade,Sede Municipal
1505536,Parauapebas,PA,-6.0713,-49.8885,Cidade,Sede Municipal
1505551,Pau D'Arco,PA,-7.8304,-50.0402,Cidade,Sede Municipal
1505601,Peixe-Boi,PA,-1.1935,-47.3169,Cidade,Sede Municipal
1505635,Piçarra,PA,-6.4431,-48.8628,Cidade,Sede Municipal
1505650,Placas,PA,-3.8641,-54.216,Cidade,Sede Municipal
1505700,Ponta de Pedras,PA,-1.3938,-48.8712,Cidade,Sede Municipal
1505809,Portel,PA,-1.9391,-50.8238,Cidade,Sede Municipal
1505908,Porto de Moz,PA,-1.7541,-52.2397,Cidade,Sede Municipal
1506005,Prainha,PA,-1.8073,-53.4806,Cidade,Sede Municipal
1506104,Primavera,PA,-0.9403,-47.1172,Cidade,Sede Municipal
1506112,Quatipuru,PA,-0.8987,-47.005,Cidade,Sede Municipal
1506138,Redenção,PA,-8.0362,-50.0357,Cidade,Sede Municipal
