osm_feature_id,osm_type,osm_id,name,operator,brand,latitude,longitude,source,valid_coordinates
node/5405432277,node,5405432277,Sanar Humaitá,,,-29.9783896,-51.1897582,OpenStreetMap amenity=pharmacy,True
node/5409963772,node,5409963772,Farmacia,,,-3.3507848,-40.4648641,OpenStreetMap amenity=pharmacy,True
node/5410183426,node,5410183426,,,,-3.1844093,-40.4533224,OpenStreetMap amenity=pharmacy,True
node/5410647731,node,5410647731,Drogaria Heleno,,,-20.6759195,-43.610392,OpenStreetMap amenity=pharmacy,True
node/5414565325,node,5414565325,Tchê Farmácias,,,-29.6729068,-53.8103365,OpenStreetMap amenity=pharmacy,True
node/5415063000,node,5415063000,Droga Raia,,Droga Raia,-23.2149617,-45.9092168,OpenStreetMap amenity=pharmacy,True
node/5415063003,node,5415063003,Pague Menos,,Pague Menos,-23.2150074,-45.9088366,OpenStreetMap amenity=pharmacy,True
node/5415216825,node,5415216825,Popular,,,-6.8702162,-36.9245245,OpenStreetMap amenity=pharmacy,True
node/5425115353,node,5425115353,São João,,São João,-29.9839857,-52.3746009,OpenStreetMap amenity=pharmacy,True
node/5425560623,node,5425560623,,,,-26.7071493,-48.6828927,OpenStreetMap amenity=pharmacy,True
node/5425806327,node,5425806327,Drogaria Santa Izabel,,,-15.8436221,-47.9754838,OpenStreetMap amenity=pharmacy,True
node/5436431456,node,5436431456,Farmais,,,-22.8267739,-47.0810555,OpenStreetMap amenity=pharmacy,True
node/5443789014,node,5443789014,,,,-2.4076211,-44.4162668,OpenStreetMap amenity=pharmacy,True
node/5446781394,node,5446781394,São João,,,-29.8149777,-53.3745215,OpenStreetMap amenity=pharmacy,True
node/5448097937,node,5448097937,Guiafarma,,,-15.784356,-47.8848819,OpenStreetMap amenity=pharmacy,True
node/5448847322,node,5448847322,Extrafarma,,Extrafarma,-23.5797009,-46.6420815,OpenStreetMap amenity=pharmacy,True
node/5450712784,node,5450712784,Drogaria  Nova Riacho,,,-23.7777966,-46.5300897,OpenStreetMap amenity=pharmacy,True
node/5460348921,node,5460348921,Drogarias Pacheco,,,-15.780135,-47.8754221,OpenStreetMap amenity=pharmacy,True
node/5461937240,node,5461937240,Colorado,,,-15.7798627,-47.8761607,OpenStreetMap amenity=pharmacy,True
node/5464850828,node,5464850828,São Pedro,,,-22.316982,-42.3305839,OpenStreetMap amenity=pharmacy,True
node/5466951847,node,5466951847,Dias da Cruz,,,-15.7439577,-47.8952692,OpenStreetMap amenity=pharmacy,True
node/5468019051,node,5468019051,Drogacenter,,,-19.7886506,-42.1425134,OpenStreetMap amenity=pharmacy,True
node/5471565529,node,5471565529,Drogarias Pacheco,,,-15.8353322,-48.0188395,OpenStreetMap amenity=pharmacy,True
node/5471567624,node,5471567624,A Essência,,,-15.8366521,-48.0206123,OpenStreetMap amenity=pharmacy,True
node/5473267123,node,5473267123,Drogaria isa,,,-3.077476,-60.0494267,OpenStreetMap amenity=pharmacy,True
node/5473688023,node,5473688023,Drogaria trindade,,,-3.0734396,-60.0628345,OpenStreetMap amenity=pharmacy,True
node/5476179840,node,5476179840,Farmácia Econômica,,,-28.9337098,-49.4859892,OpenStreetMap amenity=pharmacy,True
node/5476199221,node,5476199221,Pague Menos,,Pague Menos,-3.0553651,-60.0248458,OpenStreetMap amenity=pharmacy,True
node/5478739271,node,5478739271,Agafarma,,,-30.3871363,-56.452117,OpenStreetMap amenity=pharmacy,True
node/5480542896,node,5480542896,Drogasil,,Drogasil,-23.6243491,-46.6831276,OpenStreetMap amenity=pharmacy,True
node/5480911897,node,5480911897,Droga Raia,,Droga Raia,-23.623656,-46.6843882,OpenStreetMap amenity=pharmacy,True
node/5481482856,node,5481482856,Tchê Farmácias,,,-29.6941708,-53.7414539,OpenStreetMap amenity=pharmacy,True
node/5483786304,node,5483786304,Saúdepharma,,,-5.8257077,-35.2003234,OpenStreetMap amenity=pharmacy,True
node/5485028691,node,5485028691,Farmácia Moreira,,,-12.5515148,-38.7064778,OpenStreetMap amenity=pharmacy,True
node/5485747777,node,5485747777,Farmacia Centrale,,,-17.1880888,-41.6977704,OpenStreetMap amenity=pharmacy,True
node/5485747778,node,5485747778,Farmacia Centrale,,,-17.1876763,-41.6973244,OpenStreetMap amenity=pharmacy,True
